brand snippet,Marken-Snippet
Enable to match the Brand Attribute code from Magento to %schema %link.,"Aktivieren Sie, um den Marken-Attributcode von Magento mit %schema %link abzugleichen."
category snippet,Kategorie-Snippet
Enable to match the product category to %schema %link.,"Aktivieren Sie, um die Produktkategorie mit %schema %link abzugleichen."
color snippet,Farb-Snippet
Enable to match the Color Attribute code from Magento to %schema %link.,"Aktivieren Sie, um den Farb-Attributcode von Magento mit %schema %link abzugleichen."
priority of the categories,Priorität der Kategorien
Map any existing product attribute to the Schema.org %link.,Ordnen Sie einem beliebigen vorhandenen Produktattribut das Schema.org %link zu.
"Assign the current product attribute options to the Schema.org condition options such as %new, %used, %refurbished or %damaged.","Ordnen Sie die aktuellen Produktattributoptionen den Schema.org-Bedingungsoptionen wie %new, %used, %refurbished oder %damaged zu."
Example,Beispiel
"A comma-delimited list of %schema_link property name and attribute codes.%br%htmlNote%br mpn,mpn_code %br For JSON-LD will be converted to: %br { ... ""mpn"":""12343"" ... } %br","Eine kommaseparierte Liste von %schema_link Eigenschaftsnamen und Attributcodes.%br%htmlHinweis%br mpn,mpn_code %br Wird für JSON-LD zu: %br { ... ""mpn"":""12343"" ... } %br"
store snippet,Store-Snippet
Populate the description property for the %schema %link.,"Füllen Sie die Eigenschaft ""Beschreibung"" für %schema %link aus."
description snippet,Beschreibungs-Snippet
Select the Description Attribute Code from Magento match it to %schema %link,Wählen Sie den Beschreibungs-Attributcode aus Magento und gleichen Sie ihn mit %schema %link ab.
Free shipping markup,Markup für kostenlosen Versand
This setting allows you to enable the %link for the products.,"Diese Einstellung ermöglicht es Ihnen, den %link für die Produkte zu aktivieren."
manufacurer snippet,Hersteller-Snippet
Enable to match the Manufacturer code from Magento to %schema %link.,"Aktivieren Sie, um den Hersteller-Code von Magento mit %schema %link abzugleichen."
Note,Hinweis
rich snippets,Rich Snippets
Adds %link to your existing website HTML. %br%htmlNote adding snippets to your site in the search results may take some time as the search bots do not include this information immediately.,"Fügt %link zu Ihrer vorhandenen Website-HTML hinzu. %br%htmlHinweis: Das Hinzufügen von Snippets zu Ihrer Website in den Suchergebnissen kann einige Zeit in Anspruch nehmen, da die Suchroboter diese Informationen nicht sofort einbeziehen."
Merchant Return Policy markup,Markup für Händler-Rückgaberegelung
model snippet,Modell-Snippet
Enable to match the Model Attribute code from Magento to %schema %link.,"Aktivieren Sie, um den Modell-Attributcode von Magento mit %schema %link abzugleichen."
special page,Spezielle Seite
Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the %link.,"Fügt die Snippets hinzu, die auf der Suchergebnisseite der Suchmaschine angezeigt werden. Der Geschäftsinhaber kann die Snippet-Daten auf der %link anzeigen."
"By default and without any configurations, the product entity will include the following attributes: product name, preview image, rating, price, availability and website language.","Standardmäßig und ohne Konfiguration werden die folgenden Attribute für die Produktentität verwendet: Produktname, Vorschaubild, Bewertung, Preis, Verfügbarkeit und Website-Sprache."
Type (by %schema),Typ (nach %schema)
type,Typ
Select your business %link,Wählen Sie Ihr Geschäfts- %link
Shipping Details markup,Markup für Versanddetails
SKU snippet,SKU-Snippet
Enable to match the SKU Attribute code from Magento to %schema %link.,"Aktivieren Sie, um den SKU-Attributcode von Magento mit %schema %link abzugleichen."
weight snippet,Gewichts-Snippet
Enable to match the product weight to %schema %link.,"Aktivieren Sie, um das Produktgewicht mit %schema %link abzugleichen."
Home,Startseite
Go to Home Page,Zur Startseite gehen
-- Please Select --,-- Bitte auswählen --
Monday,Montag
Tuesday,Dienstag
Wednesday,Mittwoch
Thursday,Donnerstag
Friday,Freitag
Saturday,Samstag
Sunday,Sonntag
--Please Select--,--Bitte auswählen--
Page Title (%1),Seitentitel (%1)
Content Heading (%1),Inhaltstitel (%1)
Meta Title (%1),Meta-Titel (%1)
Meta Keywords (%1),Meta-Keywords (%1)
Meta Description (%1),Meta-Beschreibung (%1)
All Pages,Alle Seiten
Home Page,Startseite
lb,lb
kg,kg
SEO,SEO
SEO Markup,SEO-Markup
Product,Produkt
These settings are for the snippet configuration on the products pages.,Diese Einstellungen dienen der Schnittstellenkonfiguration auf den Produktseiten.
Enable In Rich Snippets,In Rich Snippets aktivieren
Show Product microdata for products without offers and rating,Produkt-Microdata für Produkte ohne Angebote und Bewertung anzeigen
Enable for Google Assistant,Für Google Assistant aktivieren
CSS Selectors,CSS-Selektoren
You can specify a few values separated by commas.,Sie können mehrere Werte durch Kommata trennen.
Best Rating,Beste Bewertung
Add Review Markup,Bewertungs-Markup hinzufügen
Disable Default Review Markup,Standardmäßiges Bewertungs-Markup deaktivieren
Disabled review markup added by theme.,"Deaktiviertes Bewertungs-Markup, das von dem Theme hinzugefügt wurde."
Use Multiple Offer for Configurable Product,Mehrere Angebote für konfigurierbare Produkte verwenden
"Add several offers, one for each child product","Mehrere Angebote hinzufügen, eines für jedes Kindprodukt"
Description Attribute Code,Attributcode für die Beschreibung
Crop HTML tags from Description,HTML-Tags aus der Beschreibung ausschneiden
Add SKU,SKU hinzufügen
SKU Attribute Code,SKU-Attributcode
Select the SKU Attribute Code from Magento.,Wählen Sie den SKU-Attributcode aus Magento aus.
Add Category,Kategorie hinzufügen
Use Deepest Category,Tiefste Kategorie verwenden
Handles the situation if some product is assigned to different categories.,"Handhabt die Situation, wenn ein Produkt verschiedenen Kategorien zugeordnet ist."
Add Color,Farbe hinzufügen
Color Attribute Code,Farb-Attributcode
Select the Color Attribute Code from Magento.,Wählen Sie den Farb-Attributcode aus Magento aus.
Add Manufacturer,Hersteller hinzufügen
Manufacturer Attribute Code,Hersteller-Attributcode
Select the Manufacturer Attribute Code from Magento.,Wählen Sie den Hersteller-Attributcode aus Magento aus.
Add Brand,Marke hinzufügen
Brand Attribute Code,Marken-Attributcode
Select the Brand Attribute Code from Magento.,Wählen Sie den Marken-Attributcode aus Magento aus.
Add Model,Modell hinzufügen
