Save Crosslink,Kreuzverlinkung speichern
Edit Crosslink '%1',Kreuzverlinkung '%1' bearbeiten
New Crosslink,Neue Kreuzverlinkung
Destination,Ziel
Use in Product,Verwenden in Produkt
Use in Category,Verwenden in Kategorie
Use in CMS Page,Verwenden in CMS-Seite
Use in Landing Page,Verwenden in Landing Page
Crosslink Info,Kreuzverlinkungsinformationen
Keyword,Schlüsselwort
Link Title,Link-Titel
Link Target,Link-Ziel
Store View,Shop-Ansicht
NOTE: Cross Link will be build in the chosen store views.,HINWEIS: Die Kreuzverlinkung wird in den ausgewählten Shop-Ansichten erstellt.
Reference,Referenz
NOTE: Cross link will not be shown on the page if this page is specified as target page for this keyword.,"HINWEIS: Die Kreuzverlinkung wird auf der Seite nicht angezeigt, wenn diese Seite als Zielseite für dieses Schlüsselwort festgelegt ist."
Custom URL,Benutzerdefinierte URL
Max Replacement Count per Page,Maximale Ersatzanzahl pro Seite
Max # of this keyword per page. 100 is the max value.,Maximale Anzahl dieses Schlüsselworts pro Seite. 100 ist der Höchstwert.
Priority,Priorität
100 is the highest priority.,100 ist die höchste Priorität.
Nofollow,Nofollow
Is Active,Ist aktiv
Select Category...,Kategorie auswählen...
Select Product...,Produkt auswählen...
Select Landing Page...,Landing Page auswählen...
Cross Link,Kreuzverlinkung
NOTE: Enter one keyword (keyword phrase) per line. A new cross link rule will be created for each entered keyword.,HINWEIS: Geben Sie pro Zeile ein Schlüsselwort (Schlüsselwortphrase) ein. Für jedes eingegebene Schlüsselwort wird eine neue Kreuzverlinkungsregel erstellt.
"For multiple keywords use the Reduced Multisave Priority feature. It reduces the keyword priority for every next keyword on the list (thus, the most important keywords appear in the first place).","Verwenden Sie die Funktion ""Reduzierte Mehrfachspeicher-Priorität"", wenn Sie mehrere Schlüsselwörter verwenden. Damit wird die Priorität für jedes nächste Schlüsselwort in der Liste reduziert (so werden die wichtigsten Schlüsselwörter zuerst angezeigt)."
"Adding '+' before or after a keyword will apply the Cross Link rule to all its variations. E.g. Entering 'iphone 5+' will apply the rule to 'iphone 5s', 'iphone 5c', etc. (but not to 'iphone 5').","Ein '+' vor oder nach einem Schlüsselwort hinzufügen, wendet die Kreuzverlinkungsregel auf alle Variationen dieses Schlüsselworts an. Zum Beispiel wird das Eingeben von 'iphone 5+' die Regel auf 'iphone 5s', 'iphone 5c', usw. anwenden (aber nicht auf 'iphone 5')."
"For more info, follow the %1 link %2.",Weitere Informationen finden Sie unter %1 Link %2.
Link without 'http[s]://' as customer/account/<br>will be converted to<br>http[s]://(store_URL_here)/customer/account/,Link ohne 'http[s]://' wie customer/account/<br>wird konvertiert zu<br>http[s]://(store_URL_here)/customer/account/
Link with 'http[s]://' will be added as it is.,Link mit 'http[s]://' wird unverändert hinzugefügt.
Crosslink Information,Kreuzverlinkungsinformationen
The crosslink has been deleted.,Die Kreuzverlinkung wurde gelöscht.
Crosslink not found.,Kreuzverlinkung nicht gefunden.
Crosslink,Kreuzverlinkung
The crosslink no longer exists.,Die Kreuzverlinkung existiert nicht mehr.
New Cross Link,Neue Kreuzverlinkung
Crosslinks,Kreuzverlinkungen
Please correct the data sent.,Bitte korrigieren Sie die gesendeten Daten.
Something went wrong while saving the page.,Beim Speichern der Seite ist ein Fehler aufgetreten.
The crosslink has been saved.,Die Kreuzverlinkung wurde gespeichert.
The crosslinks has been saved with reduce priority.,Die Kreuzverlinkungen wurden mit reduzierter Priorität gespeichert.
Something went wrong while saving the crosslink.,Beim Speichern der Kreuzverlinkung ist ein Fehler aufgetreten.
Product Page,Produktseite
Category Page,Kategorieseite
CMS Page Content,CMS-Seiteninhalt
Landing Page,Landing Page
Product Short Description,Produkt Kurzbeschreibung
Product Description,Produktbeschreibung
Yes,Ja
No,Nein
Don't Use,Nicht verwenden
For Blank,Für Leer
For All,Für Alle
Product,Produkt
Category,Kategorie
_self,_self
_blank,_blank
"Delete ""${ $.$data.name }""","Löschen ""${ $.$data.name }"""
"Are you sure you want to delete the Crosslink ""${ $.$data.name }"" ?","Sind Sie sicher, dass Sie die Kreuzverlinkung ""${ $.$data.name }"" löschen möchten?"
Edit,Bearbeiten
Delete,Löschen
SEO,SEO
SEO Cross Links,SEO-Kreuzverlinkungen
SEO crosslinks connect related site pages or pages with similar content by some keyword,SEO-Kreuzverlinkungen verknüpfen verwandte Seiten oder Seiten mit ähnlichem Inhalt über Schlüsselwörter.
Enable ▾,Aktivieren ▾
