We add the special <b>SEO Name</b> attribute that can be used instead of the real Product name (populates the H1 tag).,We voegen het speciale <b>SEO Naam</b> attribuut toe dat in plaats van de echte productnaam kan worden gebruikt (vult de H1-tag in).
Choose the desired Product on the %productGridLink and click the Search Engine Optimization tab.,Kies het gewenste product in de %productGridLink en klik op het tabblad Zoekmachineoptimalisatie.
SEO Name allows you keeping the product names short and relevant but optimize the H1 tag on the product pages at the same time.,SEO Naam maakt het mogelijk om de productnamen kort en relevant te houden en tegelijkertijd de H1-tag op de productpagina's te optimaliseren.
start typing to search category,begin met typen om te zoeken naar categorie
Continue,Doorgaan
Edit Brand Page Template '%1',Bewerk Merk Pagina Sjabloon '%1'
New Template,Nieuw Sjabloon
Brand Page Template Info,Merk Pagina Sjabloon Info
Reference,Referentie
Store View,Winkelweergave
"NOTE: ""All Store Views"" - Template will be written to the store view level.","OPMERKING: ""Alle Winkelweergaven"" - Sjabloon wordt geschreven op winkelweergaveniveau."
"""Default Values"" - Template will be written for default values field.",Standaardwaarden - Sjabloon wordt geschreven voor velden met standaardwaarden.
Default value is used if the store view value is empty.,Standaardwaarde wordt gebruikt als de waarde voor de winkelweergave leeg is.
Brand Page Templates,Merk Pagina Sjablonen
Brand Page Template Information,Merk Pagina Sjabloon Informatie
Save Brand Page Template,Sla Merk Pagina Sjabloon op
Brand ID,Merk ID
Brand,Merk
Status,Status
Brands,Merken
See the changed tab in the tab list,Bekijk het gewijzigde tabblad in de tabellijst
Name,Naam
Template Rule,Sjabloonregel
Apply For,Toepassen op
Apply By Cron,Toepassen via Cron
Brand Page Template,Merk Pagina Sjabloon
"Edit ""%1"" Template for Single-Store Mode","Bewerk ""%1"" Sjabloon voor Enkelvoudige Winkelweergave"
"Edit ""%1"" Template for Default Values","Bewerk ""%1"" Sjabloon voor Standaardwaarden"
"Edit ""%1"" Template for All Store Views","Bewerk ""%1"" Sjabloon voor Alle Winkelweergaven"
"Edit ""%1"" Template for ""%2"" Store View","Bewerk ""%1"" Sjabloon voor Winkelweergave ""%2"""
SEO XTemplates: Unknow Brand Page Template Type,SEO XTemplates: Onbekend Type Merk Pagina Sjabloon
inserts all chosen attributes of LN on the brand.,voegt alle gekozen attributen van LN toe op het merk.
Example:,Voorbeeld:
"If ""color"", ""occasion"", and ""shoe size"" attributes are chosen, on the frontend you will see:","Als ""kleur"", ""gelegenheid"" en ""schoenmaat"" attributen zijn gekozen, ziet u op de frontend:"
"""Shoes – parameters: Color Red, Occasion Casual, Shoe Size 6.5""","Schoenen - parameters: Kleur Rood, Gelegenheid Casual, Schoenmaat 6.5"
"If no attributes are chosen, you will see: ""Shoes"".","Als er geen attributen zijn gekozen, ziet u: ""Schoenen""."
insert attribute value if exists.,voegt attribuutwaarde toe als deze bestaat.
"Will translate to ""Shoes in Color Red"" on the frontend.","Wordt op de frontend ""Schoenen in Kleur Rood""."
Note: The variables [%s] and [%s] will be replaced by their values Only on the front-end.,Opmerking: De variabelen [%s] en [%s] worden alleen op de frontend vervangen door hun waarden.
"So, in the backend you will still see [%s] and [%s].",Dus in de backend ziet u nog steeds [%s] en [%s].
Randomizer feature is available. The construction like [Buy||Order||Purchase] will use a randomly picked word.,De Randomizer-functie is beschikbaar. De constructie zoals [Kopen||Bestellen||Aanschaffen] zal een willekeurig gekozen woord gebruiken.
"
        Also randomizers can be used within other template variables, ex: [-parameters:||-filters: {filter_all}]. Number of randomizers blocks is not limited within the template.","
        Ook kunnen willekeurige elementen worden gebruikt binnen andere sjabloonvariabelen, bijvoorbeeld: [-parameters:||-filters: {filter_all}]. Het aantal willekeurige elementen is niet beperkt binnen het sjabloon."
Edit Category Template '%1',Bewerk Categorie Sjabloon '%1'
Category Template Info,Categorie Sjabloon Informatie
NOTE: Template will be added to the store view level.,NOTITIE: Het sjabloon wordt toegevoegd op het niveau van de winkelweergave.
Category Templates,Categorie Sjablonen
Category Template Information,Categorie Sjabloon Informatie
Save Category Template,Sla Categorie Sjabloon op
Categories,Categorieën
SEO XTemplates: Unknow Category Template Type,SEO XTemplates: Onbekend Categorie Sjabloon Type
inserts all chosen attributes of LN on the category page.,voegt alle gekozen attributen van LN in op de categoriepagina.
Randomizer feature is available. The construction like %1 will use a randomly picked word.,Willekeurige generator is beschikbaar. De constructie zoals %1 zal een willekeurig gekozen woord gebruiken.
"Also randomizers can be used within other template variables, ex: %1. Number of randomizers blocks is not limited within the template.","Ook kunnen willekeurige generatoren worden gebruikt binnen andere sjabloonvariabelen, bijvoorbeeld %1. Het aantal willekeurige generatoren is niet beperkt binnen het sjabloon."
Category Filter Template Info,Categorie Filter Sjabloon Informatie
-- Please Select --,-- Maak een Keuze --
Attribute,Attribuut
Category Filter Template,Categorie Filter Sjabloon
Category Filter Template Information,Categorie Filter Sjabloon Informatie
Save Category Filter Template,Sla Categorie Filter Sjabloon op
Edit Category Filter Template '%1',Bewerk Categorie Filter Sjabloon '%1'
Attribute Value,Attribuut Waarde
Each store,Elke winkel
"Edit ""%1"" Template for ""%2"" Store View and ""%3"" Attribute","Bewerk ""%1"" Sjabloon voor ""%2"" Winkelweergave en ""%3"" Attribuut"
Edit Landing Page Template '%1',Bewerk Landingspagina Sjabloon '%1'
Landing Page Template Info,Landingspagina Sjabloon Informatie
Landing Page Templates,Landingspagina Sjablonen
Landing Page Template Information,Landingspagina Sjabloon Informatie
Save Landing Page Template,Sla Landingspagina Sjabloon op
ID,ID
Title,Titel
Landing Pages,Landingspagina's
Landing Page Template,Landingspagina Sjabloon
SEO XTemplates: Unknow Landing Page Template Type,SEO XTemplates: Onbekend Landingspagina Sjabloon Type
inserts all chosen attributes of LN on the landing page.,voegt alle gekozen attributen van LN in op de landingspagina.
Edit Product Template '%1',Bewerk Product Sjabloon '%1'
Product Template Info,Product Sjabloon Informatie
Product Templates,Product Sjablonen
Product template Information,Product sjabloon Informatie
Save Product Template,Sla Product Sjabloon op
Attribute Set,Attribuut Set
Attribute Sets,Attribuut Sets
Type,Type
Visibility,Zichtbaarheid
SKU,SKU
Price,Prijs
Products,Producten
"Template ""%1"" has been applied.","Sjabloon ""%1"" is toegepast."
We can't find a brand page template to apply.,We kunnen geen merkpagina sjabloon vinden om toe te passen.
Create Template,Maak een Sjabloon
The template no longer exists.,Het sjabloon bestaat niet meer.
New Brand Page Template,Nieuw Merkpagina Sjabloon
"The ""%1"" template has been deleted.","Het sjabloon ""%1"" is verwijderd."
We can't find a brand page template to delete.,We kunnen geen merkpagina sjabloon vinden om te verwijderen.
Edit Template,Bewerk Sjabloon
SEO Brand Page Templates,SEO Merkpagina Sjablonen
Templates for Brand,Sjablonen voor Merk
"The ""%1"" template has been saved.","Het sjabloon ""%1"" is opgeslagen."
Something went wrong while saving the template.,Er is iets misgegaan bij het opslaan van het sjabloon.
We can't find a category template to apply.,We kunnen geen categorie sjabloon vinden om toe te passen.
Template,Sjabloon
New Category Template,Nieuw Categorie Sjabloon
