brand snippet,merk snippet
Enable to match the Brand Attribute code from Magento to %schema %link.,Inschakelen om de Merk Attribuutcode van Magento te koppelen aan %schema %link.
category snippet,categorie snippet
Enable to match the product category to %schema %link.,Inschakelen om de productcategorie te koppelen aan %schema %link.
color snippet,kleur snippet
Enable to match the Color Attribute code from Magento to %schema %link.,Inschakelen om de Kleur Attribuutcode van Magento te koppelen aan %schema %link.
priority of the categories,prioriteit van de categorieën
Map any existing product attribute to the Schema.org %link.,Koppel elk bestaand productattribuut aan het Schema.org %link.
"Assign the current product attribute options to the Schema.org condition options such as %new, %used, %refurbished or %damaged.","Wijs de huidige attribuutopties van het product toe aan de Schema.org conditie-opties zoals %nieuw, %gebruikt, %gereviseerd of %beschadigd."
Example,Voorbeeld
"A comma-delimited list of %schema_link property name and attribute codes.%br%htmlNote%br mpn,mpn_code %br For JSON-LD will be converted to: %br { ... ""mpn"":""12343"" ... } %br","Een door komma's gescheiden lijst van %schema_link eigenschapsnaam en attribuutcodes.%br%htmlNote%br mpn,mpn_code %br Voor JSON-LD wordt dit omgezet naar: %br { ... ""mpn"":""12343"" ... } %br"
store snippet,winkel snippet
Populate the description property for the %schema %link.,Vul de eigenschap 'omschrijving' in voor %schema %link.
description snippet,omschrijving snippet
Select the Description Attribute Code from Magento match it to %schema %link,Selecteer de Omschrijving Attribuutcode van Magento en koppel deze aan %schema %link
Free shipping markup,Gratis verzending markup
This setting allows you to enable the %link for the products.,Deze instelling stelt je in staat om %link in te schakelen voor de producten.
manufacurer snippet,fabrikant snippet
Enable to match the Manufacturer code from Magento to %schema %link.,Inschakelen om de Fabrikantcode van Magento te koppelen aan %schema %link.
Note,Opmerking
rich snippets,rijkdom snippets
Adds %link to your existing website HTML. %br%htmlNote adding snippets to your site in the search results may take some time as the search bots do not include this information immediately.,Voegt %link toe aan je bestaande website-HTML. %br%htmlNote het toevoegen van snippets aan je site in de zoekresultaten kan enige tijd in beslag nemen omdat zoekrobots deze informatie niet direct opnemen.
Merchant Return Policy markup,Markup voor retoursbeleid van handelaar
model snippet,model snippet
Enable to match the Model Attribute code from Magento to %schema %link.,Inschakelen om de Model Attribuutcode van Magento te koppelen aan %schema %link.
special page,speciale pagina
Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the %link.,Voegt de snippets toe die worden getoond op de zoekresultatenpagina van zoekmachines. De winkelier kan de snippetgegevens bekijken op de %link.
"By default and without any configurations, the product entity will include the following attributes: product name, preview image, rating, price, availability and website language.","Standaard en zonder enige configuratie bevat de productentiteit de volgende attributen: productnaam, voorbeeldafbeelding, beoordeling, prijs, beschikbaarheid en website taal."
Type (by %schema),Type (volgens %schema)
type,type
Select your business %link,Selecteer je bedrijf %link
Shipping Details markup,Markup voor verzendgegevens
SKU snippet,SKU snippet
Enable to match the SKU Attribute code from Magento to %schema %link.,Inschakelen om de SKU Attribuutcode van Magento te koppelen aan %schema %link.
weight snippet,gewicht snippet
Enable to match the product weight to %schema %link.,Inschakelen om het productgewicht te koppelen aan %schema %link.
Home,Home
Go to Home Page,Ga naar de Startpagina
-- Please Select --,-- Selecteer alstublieft --
Monday,Maandag
Tuesday,Dinsdag
Wednesday,Woensdag
Thursday,Donderdag
Friday,Vrijdag
Saturday,Zaterdag
Sunday,Zondag
--Please Select--,--Selecteer alstublieft--
Page Title (%1),Paginatitel (%1)
Content Heading (%1),Inhoudskop (%1)
Meta Title (%1),Meta Titel (%1)
Meta Keywords (%1),Meta Trefwoorden (%1)
Meta Description (%1),Meta Omschrijving (%1)
All Pages,Alle Pagina's
Home Page,Startpagina
lb,lb
kg,kg
SEO,SEO
SEO Markup,SEO Markup
Product,Product
These settings are for the snippet configuration on the products pages.,Deze instellingen zijn voor de snippetconfiguratie op de productpagina's.
Enable In Rich Snippets,Inschakelen in Rijke Snippets
Show Product microdata for products without offers and rating,Toon Product microdata voor producten zonder aanbiedingen en beoordelingen
Enable for Google Assistant,Inschakelen voor Google Assistant
CSS Selectors,CSS-selectoren
You can specify a few values separated by commas.,"Je kunt enkele waarden opgeven, gescheiden door komma's."
Best Rating,Beste Beoordeling
Add Review Markup,Voeg Beoordelingsmarkup toe
Disable Default Review Markup,Schakel Standaard Beoordelingsmarkup uit
Disabled review markup added by theme.,Uitgeschakelde beoordelingsmarkup toegevoegd door thema.
Use Multiple Offer for Configurable Product,Gebruik Meerdere Aanbiedingen voor Configurabel Product
"Add several offers, one for each child product","Voeg meerdere aanbiedingen toe, één voor elk kindproduct"
Description Attribute Code,Attribuutcode voor Omschrijving
Crop HTML tags from Description,Knip HTML-tags van Omschrijving af
Add SKU,Voeg SKU toe
SKU Attribute Code,SKU Attribuutcode
Select the SKU Attribute Code from Magento.,Selecteer de SKU Attribuutcode van Magento.
Add Category,Voeg Categorie toe
Use Deepest Category,Gebruik Diepste Categorie
Handles the situation if some product is assigned to different categories.,Handelt de situatie af als een product aan verschillende categorieën is toegewezen.
Add Color,Voeg Kleur toe
Color Attribute Code,Kleur Attribuutcode
Select the Color Attribute Code from Magento.,Selecteer de Kleur Attribuutcode van Magento.
Add Manufacturer,Voeg Fabrikant toe
Manufacturer Attribute Code,Fabrikant Attribuutcode
Select the Manufacturer Attribute Code from Magento.,Selecteer de Fabrikant Attribuutcode van Magento.
Add Brand,Voeg Merk toe
Brand Attribute Code,Merk Attribuutcode
Select the Brand Attribute Code from Magento.,Selecteer de Merk Attribuutcode van Magento.
Add Model,Voeg Model toe
Model Attribute Code,Model Attribuutcode
Select the Model Attribute Code from Magento.,Selecteer de Model Attribuutcode van Magento.
Add Gtin,Voeg Gtin toe
"The GTIN is a globally unique 14-digit number used to identify trade items, products, or services. Please use digits only when you add the GTIN for your products otherwise it will not be shown in the microdata.","De GTIN is een wereldwijd uniek 14-cijferig nummer dat wordt gebruikt om handelsartikelen, producten of diensten te identificeren. Gebruik alleen cijfers bij het toevoegen van de GTIN voor je producten, anders wordt deze niet weergegeven in de microdata."
Gtin Attribute Code,Gtin Attribuutcode
Select the GTIN Attribute Code from Magento.,Selecteer de GTIN Attribuutcode van Magento.
Add Weight,Voeg Gewicht toe
Use Special Price functionality for Price Valid Until,Gebruik Functionaliteit voor Speciale Prijs voor Prijs Geldig Tot
Price Valid Until Default Value,Standaardwaarde Prijs Geldig Tot
Product ID Attribute Code,Product ID Attribuutcode
"This value will be used as productID in the Rich Snippets and as retailer_item_id in the Open Graph tags.<br/>
                                Recommended attributes are: sku, gtin, isbn, etc.","Deze waarde wordt gebruikt als productID in de Rijke Snippets en als retailer_item_id in de Open Graph-tags.<br/>
                                Aanbevolen attributen zijn: sku, gtin, isbn, etc."
Add Condition,Voeg Staat toe
Condition Attribute Code,Staat Attribuutcode
Condition Value For New,Waarde Voor Nieuw
Condition Value For Used,Waarde Voor Gebruikt
